22_M139-15_IntMac	23_M139-15_AlvMac	26_M163-10_IntMac	27_M163-10_AlvMac	30_M59-16_IntMac	31_M59-16_AlvMac
TARBP1	8.33152182448951	8.06605245921442	9.94569956848301	8.03652684757626	8.92715898792918	8.26290408274969
COA6	6.6888040156882	7.48271136570261	7.05399179637561	7.2881250971635	7.06483120422154	7.85722241768911
ENSMMUG00000052207	0	0	0	0	0	0
SLC35F3	1.4245479875325	1.62963994170076	1.43499070678769	1.51761010237245	1.52463883355794	2.56830403336332
ENSMMUG00000052225	0	0	0	0	0	0
KCNK1	0.328116026325483	0.907102369462963	0.331407957332781	0.329653133380998	0.330434209645196	0.329993011940601
MAP3K21	1.60358335977591	1.80299508318501	1.81405980825127	2.02669598494047	1.60800893633738	2.03589913588782
PCNX2	-1.97662590179541	-1.97732131972422	-1.97372563378485	-1.97519620379247	-1.97452276953449	-1.95424050508409
NTPCR	7.54994599834523	8.36580501278729	7.67761556183557	7.95465061642564	7.59325294098699	8.48167836944956
SIPA1L2	6.80318308746974	8.24340406783089	5.78615206811515	8.02911501737369	6.8229775194373	7.87249109008312
DISC1	7.11446222599382	7.43646269096585	6.83143035622671	6.57832121127201	7.04591026412405	7.37848144548311
TSNAX	9.73025788937481	10.0285237313211	9.49271016095688	9.94799668257625	9.53814589998281	9.96781180230494
EGLN1	8.36188085374276	8.71240133826792	8.23130481853447	8.41055641128814	8.49743061393945	8.04978739472507
SPRTN	7.47317062670133	6.98783874099397	6.99710869997483	7.25597993556896	7.11242825792842	7.14003867167032
EXOC8	6.89783261186461	6.52199217611557	7.14262447213846	6.88402456382222	6.76186885273158	5.75522149688862
ENSMMUG00000050564	-1.97662590179541	-1.97732131972422	-1.97372563378485	-1.97519620379247	-1.97452276953449	-1.95424050508409
GNPAT	10.3640658863074	10.071239682703	10.0976586520444	10.2361303545837	9.87505668462713	10.1550656324093
C1H1orf131	7.17891558607055	7.11641601937314	7.32139131772495	7.23969137647055	7.98946807973263	7.37739802708056
TRIM67	1.33163338517308	1.39946778265549	1.34006265519935	2.29295421168034	1.33758181639529	1.63278407295793
FAM89A	8.67993926304685	10.9892831008713	9.78202578695972	11.2150510312224	9.09356318757163	10.8669950068855
ARV1	7.54911513365531	8.13191898148564	7.68803772168888	8.32677645820918	8.07020377848062	8.49408057010943
TTC13	8.64526840552656	8.6428039258203	8.95981070853328	9.14550286280495	9.10911061295899	8.6498734690096
C1H1orf198	6.63865990291957	7.20111248030368	6.57061469357966	7.07924798335344	6.91075810550975	7.18921260805488
CAPN9	-1.50628410110244	-1.50758582366793	-1.50085521559504	-1.42626775091325	-1.50234733932392	-1.50305193126657
AGT	0	0	0	0	0	0
COG2	8.70442646024975	8.63423083562608	8.74192591851025	8.76367977616733	8.77376556001837	8.595092743649
PGBD5	2.33368313656419	1.35564193690504	1.7566905464197	1.36164278376502	1.36373147981218	1.36255261445485
GALNT2	9.39841056945254	9.58637896627631	9.61320251360904	9.74822093922083	9.23343536149554	9.09708453097111
URB2	6.73473912613991	7.38848124681168	6.11610082009896	7.21357444310411	6.79683009156542	7.07674251478553
TAF5L	7.51955430267056	7.64248053656038	7.66702377089453	7.84489254962817	8.04815731695855	7.57387562555469
ABCB10	9.70228211558628	9.39405501412189	9.69960990554141	9.7200780125671	9.4594169866366	9.47637556501498
NUP133	9.3273009286384	9.096907140585	8.76674404103612	9.20204358283219	8.7628466572085	8.86672184001142
ENSMMUG00000054977	-0.026563517242571	0.0206782048392837	0.154594195745273	-0.0258631981988646	0.0348685572999134	0.0327844171519683
ACTA1	3.53155338889873	3.09478313481667	3.60296666823678	3.42242893817605	3.49030908786628	3.26039306073223
ENSMMUG00000055996	0	0	0	0	0	0
CCSAP	4.5400003205885	5.63282230646382	4.17688960877672	4.63849945905659	5.27340214214673	5.52734337758468
RAB4A	9.56565538545539	9.87385112636496	9.52770992863912	10.1548561420449	9.76544044278685	9.90833109217276
ENSMMUG00000031107	-1.50782268766051	-1.50925587872416	-1.45926991193204	-1.50487621430016	-1.46091273387491	-1.50426408228036
RHOU	10.9049064813812	7.15555047606997	11.8973904925421	6.59902911628228	9.96097086837106	5.30751904126738
CCDC190	0	0	0	0	0	0
RGS4	0	0	0	0	0	0
RGS5	1.51713995573518	1.85612678367764	1.60620588553899	1.527056086416	1.46286891423463	1.93206839633178
ENSMMUG00000058513	-0.964255893660447	-0.964447617081256	-0.770046874277536	-0.963827115928371	-0.962111225195851	-0.963266008110027
NUF2	4.06363574438509	4.70231697105356	4.13320189092766	5.2493422768548	3.87158095048469	4.81561461869274
ENSMMUG00000061702	6.6307060777466	6.34420004822564	6.89349643686813	6.30022315295806	6.06753306810586	5.55171016839884
ENSMMUG00000056247	0	0	0	0	0	0
ENSMMUG00000031260	2.34364091334591	2.01386120510232	2.07084311727554	2.14722919641449	2.16289983603122	1.93325644208343
PBX1	1.97741719491434	1.91714295859921	2.29443101456835	2.2500914650084	2.3572488559827	1.93543837257346
LMX1A	0	0	0	0	0	0
RXRG	-1.00821092884901	-1.14249954974588	-1.13614305153333	-1.13965690205392	-1.13804776593275	-1.13894718626426
LRRC52	0	0	0	0	0	0
MGST3	11.82843635798	13.2403327799983	12.0594444835552	12.9865642737939	12.0149167187911	13.5978709513438
ENSMMUG00000015946	11.9798435371402	12.844958114763	11.2427360842191	11.8323160244868	11.2944766773984	12.3736889134063
ENSMMUG00000062066	2.70587454351429	4.3884130443962	2.74546268526631	3.56328864083944	3.25945375923037	4.57525887899967
TMCO1	10.5145033476277	10.5193643405178	10.5079306907435	10.1578228564977	10.5280477583058	10.5538190219203
UCK2	8.10667240467414	8.40950018403771	6.73501170130697	7.67761994674332	7.82126442261052	8.92124473059932
FAM78B	-0.664649303640904	-0.714538928426392	-0.713445381366108	-0.713930417566164	-0.713715150789333	-0.552770827662137
POGK	8.70799629854279	8.81139317967714	8.61413729791846	8.80098970408384	8.78908361841342	8.74998541568
TADA1	6.68169147194254	7.79868294054339	7.25109178743723	7.58657736439547	6.85400231584317	7.7632442477427
ILDR2	0	0	0	0	0	0
MAEL	0	0	0	0	0	0
GPA33	0	0	0	0	0	0
DUSP27	0	0	0	0	0	0
POU2F1	7.16378632895558	7.50884796340727	7.46205161611698	7.54940105626011	7.07652520086598	6.99764260866887
CD247	2.47183114936628	2.07502058261125	2.05314137452153	2.37992246257898	2.21594550176545	2.2084402859805
CREG1	13.1176342290658	13.2636419219973	13.3259528783957	12.939558326996	13.3694969900766	13.4390581215136
ENSMMUG00000062713	0	0	0	0	0	0
RCSD1	12.0951197683753	8.40441443502199	12.4267768961918	8.08286598096015	12.3847994466527	7.51562278128264
MPZL1	6.13887219474009	6.59136363402743	7.02296566470927	6.73387886025229	6.91120906566543	6.83391475373067
ENSMMUG00000057453	0	0	0	0	0	0
ADCY10	2.71025190361725	3.8718710395214	2.76114095749422	3.82586670685656	2.64354001456746	4.1748245288193
MPC2	8.00797140084607	11.6333227199136	7.61863085389501	11.2087092751929	7.66507276399404	11.8010410599327
DCAF6	9.48700676235119	11.3849760325495	9.62130281753564	11.2468652146189	9.25780887303273	11.4735565535735
GPR161	0.276683013340648	0.715595063943571	0.279294746031575	0.344913839455455	0.278520283219587	0.278169909523996
TIPRL	7.73617892250331	7.90776839703998	7.96998755390895	7.79562034430818	7.86739488481127	8.0026175282326
SFT2D2	6.52395978759515	5.82396959403619	6.89412286444597	6.81590326964152	6.99938817107932	6.20983288798115
TBX19	4.04736573394099	4.19753542229976	4.17353213831563	3.98819433337128	3.90239775021917	4.20323698252471
ENSMMUG00000013779	-0.0524502137948826	-0.291788064227404	-0.221393048189491	-0.290822334709112	-0.290481496677874	-0.290674165477342
XCL1	0.0703310341149591	0.106394711268039	-0.0249518017479174	-0.0257380270306242	-0.0253890591266607	0.0860082757322652
DPT	-0.716061019735565	-0.910355293108823	-0.906639628223804	-0.909746101880813	-0.909099950126892	-0.909652580470644
ATP1B1	7.49707781969533	8.86209192657029	7.15008398413304	8.44039459572569	6.55398182963588	8.90949088667539
NME7	7.14231161378842	7.1802877893732	6.63156712029925	7.57085671781079	7.16347548881308	7.25815055160415
BLZF1	7.78845855434908	9.65433482266574	7.50813799088502	9.59393151502948	7.94891518141081	9.69102171000701
CCDC181	2.71008246268178	6.46010448622826	3.0428445115027	6.86925977627521	2.82428026505216	6.80319886794351
SLC19A2	7.8379752145328	8.93253719037968	7.43532225819832	8.76270622951023	7.42065655166286	8.99562021501542
F5	9.50920860842011	5.78397479373606	7.5825627695488	8.75993113092952	10.3959848462283	7.49027791155362
SELP	5.08666225939215	2.71117690088849	3.9612338169754	3.31955754618608	4.6045825002481	2.75629719109814
ENSMMUG00000054881	0	0	0	0	0	0
SELL	11.5764380665558	6.33900400640316	11.586745129758	6.78513244943166	12.0126054464488	6.21159165218469
SELE	-1.43643655333799	-1.50559030141264	-1.49967174051685	-1.50209232404065	-1.50098383967012	-1.5016034226668
METTL18	5.80132773706406	6.77103524858761	5.73206681715386	6.90770676956663	6.17873616912816	7.06266784623445
C1H1orf112	5.73822718660829	6.46762907524194	6.74476237623443	6.95408845514685	6.09727828921185	7.39307907722338
SCYL3	7.8596552976066	7.47251267436246	8.12528030050044	7.56487339915023	7.55598277821963	7.26696433720539
KIFAP3	6.73885140052203	7.60053243313629	6.878103896817	8.27734086395325	6.59604032873359	7.82714368594362
METTL11B	0	0	0	0	0	0
GORAB	6.81099035626658	6.72972005929016	6.99132067801689	6.9868424857873	6.25319692268622	6.79949505931443
ENSMMUG00000063414	0	0	0	0	0	0
PRRX1	0	0	0	0	0	0
MROH9	-1.18939106841429	-1.06666748623074	-1.18287118635582	-1.18617706807898	-1.18466316939095	-1.18550935713227
FMO3	-0.66228891971351	-0.615644201410872	-0.59773673884025	-0.553215831102051	-0.661627866599937	-0.661754382135828
ENSMMUG00000056051	0	0	0	0	0	0
FMO2	3.73468308908589	4.12692280056676	3.40777318199227	3.76375535864502	3.7088991590287	4.37265378842916
FMO1	-0.121777673438248	-0.122200468746889	-0.119753854233887	0.267196394603129	-0.12035398440266	-0.120625488519622
FMO4	4.86658524757301	8.35202920162462	4.91982409484798	7.58520834031928	4.89245758405924	8.20824418133471
PRRC2C	10.5589053325437	10.5424328136965	10.5525380139731	10.4574865556902	10.6953638696075	10.5319387903302
MYOCOS	0	0	0	0	0	0
MYOC	0	0	0	0	0	0
VAMP4	8.44735049795971	8.99946378118515	8.60946650551896	8.70029365137008	7.97580396919415	8.78521226863089
ENSMMUG00000057650	5.41069258765565	5.39862290329361	4.31211092981616	4.6016768697015	5.71572144968026	5.39935182812661
EEF1AKNMT	8.86526776391143	8.76343778192969	8.21647989716508	9.08218408718331	8.33453044251011	8.63684506667663
DNM3	2.28132209514328	2.9868882162984	2.85203275878527	2.65726522844993	2.29058867792509	2.96697355464253
ENSMMUG00000051559	-1.97649709416845	-1.97717357602366	-1.9736757998027	-1.9550101797761	-1.97445122972539	-1.97481739351264
C1H1orf105	0	0	0	0	0	0
PIGC	8.48269355050334	8.15521828390822	8.91055005182674	8.0956879119073	8.7300157688766	8.44530172945935
SUCO	8.69550044948308	8.21012728890912	8.56418162498081	8.66798376180274	7.67492382004771	8.21893856542539
FASLG	0.342464773377244	0.292125523373085	0.202408763828776	0.258086300600058	0.2018911934724	0.313912876027859
TNFSF18	1.94024964123289	1.62253688534063	2.16203280980924	1.62738688699479	2.13355141262416	1.62812701887804
ENSMMUG00000058865	0	0	0	0	0	0
ENSMMUG00000057372	0	0	0	0	0	0
TNFSF4	1.15452020767604	1.00759081593531	1.07716063277349	1.30926671188122	1.01052171796411	1.22713787684037
ENSMMUG00000052789	0	0	0	0	0	0
PRDX6	10.4814326479027	9.92198834814393	10.2998011437062	9.87324187412595	10.85826743107	10.8996776593947
SLC9C2	0	0	0	0	0	0
ENSMMUG00000010683	0	0	0	0	0	0
TEX50	0	0	0	0	0	0
KLHL20	6.62311732220631	7.48747904535409	7.19070359886518	7.81974450957255	7.91601652845405	7.57100941210665
CENPL	3.01368836800221	3.76295454305046	3.41876531885951	4.00087338458581	3.13322945455523	4.24196609843971
DARS2	7.37366478124962	7.87519986992069	6.79040968995925	7.78580242020682	7.23471667177266	8.02847528475703
ZBTB37	4.74806231037449	4.80881328258464	4.21914784218228	5.08779308402921	4.35991459123007	5.13009370715239
SERPINC1	0.99378787560672	1.12086216920973	1.12898760325805	1.00183836358786	1.16719250146089	0.944188296812719
RC3H1	9.15072135822189	8.15656285560342	9.15653832802899	8.50864519291172	9.11532585881969	8.6196616164539
ENSMMUG00000064770	2.84682338079686	2.78641375385169	2.41957862391958	2.85355504912674	2.83025344774609	3.09471013177228
RABGAP1L	10.2351550354861	9.12381040092412	10.4673832222181	9.08301365050996	10.3242710505443	9.00192107950047
CACYBP	10.66660824965	10.9212075829775	10.3693481751977	10.8219272069475	10.8892619887326	11.1649574808594
MRPS14	9.05463943778328	9.38698993737721	8.98675924570615	8.80644312512404	8.80714464994617	9.29278032256749
TNN	0.907291649407566	1.1325322192595	1.10036533384003	1.02549400129802	0.909588492890418	1.08247885779012
KIAA0040	8.21026404193393	6.29781436960994	8.0413957380528	5.95545937565597	8.13533562700429	5.6686205651945
TNR	-1.18939106841429	-1.06666748623074	-1.18287118635582	-1.18617706807898	-1.18466316939095	-1.18550935713227
COP1	11.2043615814929	10.530301243358	11.4469237865519	10.5206854186902	11.2786391127512	10.3356212257197
ENSMMUG00000063647	4.5312809780908	4.27030269770007	4.82633132025371	4.36164621659078	4.6166598195872	4.37928738189979
PAPPA2	-0.511475245689644	-0.238303154845782	-0.510155333805625	-0.510861006759903	-0.510547493324587	-0.510724699147769
ASTN1	0.0675394758524995	0.421289365903488	0.0696035131682915	0.13269179740714	0.0689907399672176	0.0687137147451514
BRINP2	0.24999513134324	0.785508706837336	0.252971885394772	0.251384379117248	0.252090787413	0.251691728098675
SEC16B	-0.865199820662404	-0.729641507673568	-0.862760239014613	-0.807351018290925	-0.864597751495338	-0.864712936024316
RASAL2	6.3561784217034	8.0141959602215	4.70291073035522	7.27029320306797	5.09017452633156	7.68458508208495
ENSMMUG00000053325	-1.97566712310515	-1.95974201399873	-1.97335351878432	-1.9745266231703	-1.9739894106081	-1.97428968346533
CLEC20A	5.33038710179524	4.79961161154733	5.47485597676666	4.98110400544756	5.52200827252695	5.29610119459473
TEX35	0	0	0	0	0	0
RALGPS2	6.3775844358534	6.2021567830922	6.63942708183464	5.74076340492164	5.16146681341253	4.95075900638369
ANGPTL1	0	0	0	0	0	0
FAM20B	7.53007866496678	8.84194377493374	7.45247663422573	8.81226416871199	7.32590332501723	8.66717817248986
TOR3A	10.9524719223384	10.5153371922728	9.77749982128084	9.5516315558271	10.4909076080695	10.3491321742541
ABL2	5.28435560884711	5.38196751336987	5.08881959585208	4.87281718299162	4.91971763662299	5.05250448169185
ENSMMUG00000049630	0	0	0	0	0	0
SOAT1	12.1602772656057	12.1236123839779	12.3210147108842	12.0647183970001	12.016908572209	11.9454822949372
ENSMMUG00000055309	-1.97679401245623	-1.97751415811448	-1.97379061647079	-1.97531347713094	-1.95322283593666	-1.97500589482213
AXDND1	1.29644165845809	1.24358573587945	1.43831482897037	1.36254570444155	1.42331383167787	1.25762219292873
NPHS2	1.23339987646304	1.22656282240851	1.26333903451776	1.24789207120354	1.25490351297888	3.20387503646734
TDRD5	1.72176645422092	1.43592544376457	1.58700412023999	1.44984757437593	1.45455196091721	2.98209387451937
FAM163A	1.11486519718283	1.57863969524816	1.11933277746321	1.29952574834224	1.11800832600559	1.35821094432252
ENSMMUG00000031279_TOR1AIP2	5.67563622752352	6.35182260772376	5.96677206829626	6.87786600296033	6.10579229033388	6.55288475140122
ENSMMUG00000053617_TOR1AIP2	8.65321599314358	8.98204054096975	8.67989937652718	8.88616402931122	8.66693336679902	8.77776216049187
TOR1AIP1	11.4628754679646	11.4855431962312	11.3721503022809	11.1746328306609	11.5115365784517	11.2259918517928
CEP350	10.4741737372501	10.03505141423	10.2991743655676	9.84961502647422	10.1828909975574	9.83523226172173
QSOX1	10.6724117767092	12.3025629915348	11.0200485189251	12.2279954396665	11.0634414380077	11.6824408253381
LHX4	-0.507683919750696	-0.507970083336589	-0.506310466036382	-0.227700634359017	-0.50671836971609	-0.506902735195567
